cell	x	y	z	host
0	2000.000000	500.000000	125.000000	0
1	2000.000000	500.000000	125.000000	0
2	2000.000000	500.000000	125.000000	0
3	2000.000000	500.000000	125.000000	0
4	2000.000000	500.000000	400.000000	0
5	2000.000000	500.000000	50.000000	0
6	1000.000000	250.000000	125.000000	0
7	1000.000000	750.000000	125.000000	0
8	3000.000000	250.000000	125.000000	0
9	2000.000000	500.000000	125.000000	0
10	2000.000000	500.000000	250.000000	0
11	1000.000000	500.000000	250.000000	0
12	3000.000000	500.000000	250.000000	0
13	666.500000	500.000000	400.000000	0
14	1999.500000	500.000000	400.000000	0
15	3332.500000	500.000000	400.000000	0
