t	v
0	-65.0127
0.1	-65.0127
0.2	-65.0127
0.3	-65.0127
0.4	-65.0127
0.5	-65.0127
0.6	-65.0127
0.7	-65.0127
0.8	-65.0127
0.9	-65.0127
1	-65.0127
1.1	-65.0127
1.2	-65.0127
1.3	-65.0127
1.4	-65.0127
1.5	-65.0127
1.6	-65.0127
1.7	-65.0127
1.8	-65.0127
1.9	-65.0127
2	-65.0127
2.1	-65.0127
2.2	-65.0127
2.3	-65.0127
2.4	-65.0127
2.5	-65.0127
2.6	-65.0127
2.7	-65.0127
2.8	-65.0127
2.9	-65.0127
3	-65.0127
3.1	-65.0127
3.2	-65.0127
3.3	-65.0127
3.4	-65.0127
3.5	-65.0127
3.6	-65.0127
3.7	-65.0127
3.8	-65.0127
3.9	-65.0127
4	-65.0127
4.1	-65.0127
4.2	-65.0127
4.3	-65.0127
4.4	-65.0127
4.5	-65.0127
4.6	-65.0127
4.7	-65.0127
4.8	-65.0127
4.9	-65.0127
5	-65.0127
5.1	-65.0127
5.2	-65.0127
5.3	-65.0127
5.4	-65.0127
5.5	-65.0127
5.6	-65.0127
5.7	-65.0127
5.8	-65.0127
5.9	-65.0127
6	-65.0127
6.1	-65.0127
6.2	-65.0127
6.3	-65.0127
6.4	-65.0127
6.5	-65.0127
6.6	-65.0127
6.7	-65.0127
6.8	-65.0127
6.9	-65.0127
7	-65.0127
7.1	-65.0127
7.2	-65.0127
7.3	-65.0127
7.4	-65.0127
7.5	-65.0127
7.6	-65.0127
7.7	-65.0127
7.8	-65.0127
7.9	-65.0127
8	-65.0127
8.1	-65.0127
8.2	-65.0127
8.3	-65.0127
8.4	-65.0127
8.5	-65.0127
8.6	-65.0127
8.7	-65.0127
8.8	-65.0127
8.9	-65.0127
9	-65.0127
9.1	-65.0127
9.2	-65.0127
9.3	-65.0127
9.4	-65.0127
9.5	-65.0127
9.6	-65.0127
9.7	-65.0127
9.8	-65.0127
9.9	-65.0127
10	-65.0127
10.1	-65.0127
10.2	-65.0127
10.3	-65.0127
10.4	-65.0127
10.5	-65.0127
10.6	-65.0127
10.7	-65.0127
10.8	-65.0127
10.9	-65.0127
11	-65.0127
11.1	-65.0127
11.2	-65.0127
11.3	-65.0127
11.4	-65.0127
11.5	-65.0127
11.6	-65.0127
11.7	-65.0127
11.8	-65.0127
11.9	-65.0127
12	-65.0127
12.1	-65.0127
12.2	-65.0127
12.3	-65.0127
12.4	-65.0127
12.5	-65.0127
12.6	-65.0127
12.7	-65.0127
12.8	-65.0127
12.9	-65.0127
13	-65.0127
13.1	-65.0127
13.2	-65.0127
13.3	-65.0127
13.4	-65.0127
13.5	-65.0127
13.6	-65.0127
13.7	-65.0127
13.8	-65.0127
13.9	-65.0127
14	-65.0127
14.1	-65.0127
14.2	-65.0127
14.3	-65.0127
14.4	-65.0127
14.5	-65.0127
14.6	-65.0127
14.7	-65.0127
14.8	-65.0127
14.9	-65.0127
15	-65.0127
15.1	-65.0127
15.2	-65.0127
15.3	-65.0127
15.4	-65.0127
15.5	-65.0127
15.6	-65.0127
15.7	-65.0127
15.8	-65.0127
15.9	-65.0127
16	-65.0127
16.1	-65.0127
16.2	-65.0127
16.3	-65.0127
16.4	-65.0127
16.5	-65.0127
16.6	-65.0127
16.7	-65.0127
16.8	-65.0127
16.9	-65.0127
17	-65.0127
17.1	-65.0127
17.2	-65.0127
17.3	-65.0127
17.4	-65.0127
17.5	-65.0127
17.6	-65.0127
17.7	-65.0127
17.8	-65.0127
17.9	-65.0127
18	-65.0126
18.1	-65.0126
18.2	-65.0126
18.3	-65.0125
18.4	-65.0123
18.5	-65.012
18.6	-65.0116
18.7	-65.0109
18.8	-65.0101
18.9	-65.009
19	-65.0077
19.1	-65.0062
19.2	-65.0044
19.3	-65.0024
19.4	-65.0001
19.5	-64.9976
19.6	-64.9949
19.7	-64.9919
19.8	-64.9887
19.9	-64.9853
20	-64.9817
20.1	-64.9779
20.2	-64.974
20.3	-64.9698
20.4	-64.9655
20.5	-64.9611
20.6	-64.9565
20.7	-64.9518
20.8	-64.9471
20.9	-64.9422
21	-64.9372
21.1	-64.9322
21.2	-64.9271
21.3	-64.9219
21.4	-64.9167
21.5	-64.9115
21.6	-64.9063
21.7	-64.901
21.8	-64.8957
21.9	-64.8905
22	-64.8852
