t	v
0	-70.6307
0.1	-70.6303
0.2	-70.63
0.3	-70.6297
0.4	-70.6294
0.5	-70.6291
0.6	-70.6287
0.7	-70.6284
0.8	-70.6281
0.9	-70.6278
1	-70.6274
1.1	-70.6271
1.2	-70.6268
1.3	-70.6265
1.4	-70.6262
1.5	-70.6258
1.6	-70.6255
1.7	-70.6252
1.8	-70.6249
1.9	-70.6246
2	-70.6242
2.1	-70.6239
2.2	-70.6236
2.3	-70.6233
2.4	-70.623
2.5	-70.6227
2.6	-70.6223
2.7	-70.622
2.8	-70.6217
2.9	-70.6214
3	-70.6211
3.1	-70.6208
3.2	-70.6204
3.3	-70.6201
3.4	-70.6198
3.5	-70.6195
3.6	-70.6192
3.7	-70.6189
3.8	-70.6186
3.9	-70.6182
4	-70.6179
4.1	-70.6176
4.2	-70.6173
4.3	-70.617
4.4	-70.6167
4.5	-70.6164
4.6	-70.6161
4.7	-70.6158
4.8	-70.6154
4.9	-70.6151
5	-70.6148
5.1	-70.6145
5.2	-70.6142
5.3	-70.6139
5.4	-70.6136
5.5	-70.6133
5.6	-70.613
5.7	-70.6127
5.8	-70.6124
5.9	-70.6121
6	-70.6118
6.1	-70.6114
6.2	-70.6111
6.3	-70.6108
6.4	-70.6105
6.5	-70.6102
6.6	-70.6099
6.7	-70.6096
6.8	-70.6093
6.9	-70.609
7	-70.6087
7.1	-70.6084
7.2	-70.6081
7.3	-70.6078
7.4	-70.6075
7.5	-70.6072
7.6	-70.6069
7.7	-70.6066
7.8	-70.6063
7.9	-70.606
8	-70.6057
8.1	-70.6054
8.2	-70.6051
8.3	-70.6048
8.4	-70.6045
8.5	-70.6042
8.6	-70.6039
8.7	-70.6036
8.8	-70.6033
8.9	-70.603
9	-70.6027
9.1	-70.6024
9.2	-70.6021
9.3	-70.6018
9.4	-70.6015
9.5	-70.6012
9.6	-70.6009
9.7	-70.6006
9.8	-70.6003
9.9	-70.6
10	-70.5997
10.1	-70.5995
10.2	-70.5992
10.3	-70.5989
10.4	-70.5986
10.5	-70.5983
10.6	-70.598
10.7	-70.5977
10.8	-70.5974
10.9	-70.5971
11	-70.5968
11.1	-70.5965
11.2	-70.5962
11.3	-70.5959
11.4	-70.5957
11.5	-70.5954
11.6	-70.5951
11.7	-70.5948
11.8	-70.5945
11.9	-70.5942
12	-70.5939
12.1	-70.5936
12.2	-70.5933
12.3	-70.593
12.4	-70.5928
12.5	-70.5925
12.6	-70.5922
12.7	-70.5919
12.8	-70.5916
12.9	-70.5913
13	-70.591
13.1	-70.5908
13.2	-70.5905
13.3	-70.5902
13.4	-70.5899
13.5	-70.5896
13.6	-70.5893
13.7	-70.589
13.8	-70.5888
13.9	-70.5885
14	-70.5882
14.1	-70.5879
14.2	-70.5876
