t	v
0	-71.1411
0.1	-71.1408
0.2	-71.1408
0.3	-71.1407
0.4	-71.1406
0.5	-71.1406
0.6	-71.1405
0.7	-71.1405
0.8	-71.1404
0.9	-71.1404
1	-71.1403
1.1	-71.1403
1.2	-71.1402
1.3	-71.1402
1.4	-71.1401
1.5	-71.1401
1.6	-71.14
1.7	-71.14
1.8	-71.1399
1.9	-71.1399
2	-71.1398
2.1	-71.1398
2.2	-71.1397
2.3	-71.1397
2.4	-71.1396
2.5	-71.1396
2.6	-71.1395
2.7	-71.1395
2.8	-71.1394
2.9	-71.1394
3	-71.1393
3.1	-71.1393
3.2	-71.1392
3.3	-71.1392
3.4	-71.1391
3.5	-71.1391
3.6	-71.139
3.7	-71.139
3.8	-71.1389
3.9	-71.1389
4	-71.1389
4.1	-71.1388
4.2	-71.1388
4.3	-71.1387
4.4	-71.1387
4.5	-71.1386
4.6	-71.1386
4.7	-71.1385
4.8	-71.1385
4.9	-71.1384
5	-71.1384
5.1	-71.1383
5.2	-71.1383
5.3	-71.1382
5.4	-71.1382
5.5	-71.1381
5.6	-71.1381
5.7	-71.138
5.8	-71.138
5.9	-71.1379
6	-71.1379
6.1	-71.1378
6.2	-71.1378
6.3	-71.1377
6.4	-71.1377
6.5	-71.1376
6.6	-71.1376
6.7	-71.1375
6.8	-71.1375
6.9	-71.1374
7	-71.1374
7.1	-71.1373
7.2	-71.1373
7.3	-71.1372
7.4	-71.1372
7.5	-71.1371
7.6	-71.1371
7.7	-71.137
7.8	-71.137
7.9	-71.1369
8	-71.1369
8.1	-71.1368
8.2	-71.1368
8.3	-71.1367
8.4	-71.1367
8.5	-71.1366
8.6	-71.1366
8.7	-71.1365
8.8	-71.1365
8.9	-71.1364
9	-71.1364
9.1	-71.1363
9.2	-71.1363
9.3	-71.1362
9.4	-71.1362
9.5	-71.1361
9.6	-71.1361
9.7	-71.136
9.8	-71.1359
9.9	-71.1359
10	-71.1358
10.1	-71.1358
10.2	-71.1357
10.3	-71.1357
10.4	-71.1356
10.5	-71.1356
10.6	-71.1355
10.7	-71.1355
10.8	-71.1354
10.9	-71.1354
11	-71.1353
11.1	-71.1353
11.2	-71.1352
11.3	-71.1352
11.4	-71.1351
11.5	-71.1351
11.6	-71.135
11.7	-71.135
11.8	-71.1349
11.9	-71.1349
12	-71.1348
12.1	-71.1348
12.2	-71.1347
12.3	-71.1347
12.4	-71.1346
12.5	-71.1346
12.6	-71.1345
12.7	-71.1345
12.8	-71.1344
12.9	-71.1344
13	-71.1343
13.1	-71.1343
13.2	-71.1342
13.3	-71.1341
13.4	-71.1341
13.5	-71.134
13.6	-71.134
13.7	-71.1339
13.8	-71.1339
13.9	-71.1338
14	-71.1338
14.1	-71.1337
14.2	-71.1337
14.3	-71.1336
14.4	-71.1336
14.5	-71.1335
14.6	-71.1335
14.7	-71.1334
14.8	-71.1334
14.9	-71.1333
15	-71.1333
15.1	-71.1332
15.2	-71.1331
15.3	-71.1331
15.4	-71.133
15.5	-71.133
15.6	-71.1329
15.7	-71.1329
15.8	-71.1328
15.9	-71.1328
16	-71.1327
16.1	-71.1327
16.2	-71.1326
16.3	-71.1326
16.4	-71.1325
16.5	-71.1325
16.6	-71.1324
16.7	-71.1324
16.8	-71.1323
16.9	-71.1322
17	-71.1322
17.1	-71.1321
17.2	-71.1321
17.3	-71.132
17.4	-71.132
17.5	-71.1319
17.6	-71.1319
17.7	-71.1318
17.8	-71.1318
17.9	-71.1317
18	-71.1317
18.1	-71.1316
18.2	-71.1315
18.3	-71.1315
18.4	-71.1314
18.5	-71.1314
18.6	-71.1313
18.7	-71.1313
18.8	-71.1312
18.9	-71.1312
19	-71.1311
19.1	-71.1311
19.2	-71.131
19.3	-71.1309
19.4	-71.1309
19.5	-71.1308
19.6	-71.1308
