t	v
0	-65.0246
0.1	-65.0246
0.2	-65.0246
0.3	-65.0246
0.4	-65.0246
0.5	-65.0246
0.6	-65.0246
0.7	-65.0246
0.8	-65.0246
0.9	-65.0246
1	-65.0246
1.1	-65.0246
1.2	-65.0246
1.3	-65.0246
1.4	-65.0246
1.5	-65.0246
1.6	-65.0246
1.7	-65.0246
1.8	-65.0246
1.9	-65.0246
2	-65.0246
2.1	-65.0246
2.2	-65.0246
2.3	-65.0246
2.4	-65.0246
2.5	-65.0246
2.6	-65.0246
2.7	-65.0246
2.8	-65.0246
2.9	-65.0246
3	-65.0246
3.1	-65.0246
3.2	-65.0246
3.3	-65.0246
3.4	-65.0246
3.5	-65.0246
3.6	-65.0246
3.7	-65.0246
3.8	-65.0246
3.9	-65.0246
4	-65.0246
4.1	-65.0246
4.2	-65.0246
4.3	-65.0246
4.4	-65.0246
4.5	-65.0246
4.6	-65.0246
4.7	-65.0246
4.8	-65.0246
4.9	-65.0246
5	-65.0246
5.1	-65.0246
5.2	-65.0246
5.3	-65.0246
5.4	-65.0246
5.5	-65.0246
5.6	-65.0246
5.7	-65.0246
5.8	-65.0246
5.9	-65.0246
6	-65.0246
6.1	-65.0246
6.2	-65.0246
6.3	-65.0246
6.4	-65.0246
6.5	-65.0246
6.6	-65.0246
6.7	-65.0246
6.8	-65.0246
6.9	-65.0246
7	-65.0246
7.1	-65.0246
7.2	-65.0246
7.3	-65.0246
7.4	-65.0246
7.5	-65.0246
7.6	-65.0246
7.7	-65.0246
7.8	-65.0246
7.9	-65.0246
8	-65.0246
8.1	-65.0246
8.2	-65.0246
8.3	-65.0246
8.4	-65.0246
8.5	-65.0246
8.6	-65.0246
8.7	-65.0246
8.8	-65.0246
8.9	-65.0246
9	-65.0246
9.1	-65.0246
9.2	-65.0246
9.3	-65.0246
9.4	-65.0246
9.5	-65.0246
9.6	-65.0246
9.7	-65.0246
9.8	-65.0246
9.9	-65.0246
10	-65.0246
10.1	-65.0246
10.2	-65.0246
10.3	-65.0246
10.4	-65.0246
10.5	-65.0246
10.6	-65.0246
10.7	-65.0246
10.8	-65.0246
10.9	-65.0246
11	-65.0246
11.1	-65.0246
11.2	-65.0246
11.3	-65.0246
11.4	-65.0246
11.5	-65.0246
11.6	-65.0246
11.7	-65.0246
11.8	-65.0246
11.9	-65.0246
12	-65.0246
12.1	-65.0246
12.2	-65.0246
12.3	-65.0246
12.4	-65.0246
12.5	-65.0246
12.6	-65.0246
12.7	-65.0246
12.8	-65.0246
12.9	-65.0246
13	-65.0246
13.1	-65.0246
13.2	-65.0246
13.3	-65.0246
13.4	-65.0246
13.5	-65.0246
13.6	-65.0246
13.7	-65.0246
13.8	-65.0246
13.9	-65.0246
14	-65.0246
14.1	-65.0246
14.2	-65.0246
14.3	-65.0246
14.4	-65.0246
14.5	-65.0246
14.6	-65.0246
14.7	-65.0246
14.8	-65.0246
14.9	-65.0246
15	-65.0246
15.1	-65.0246
15.2	-65.0246
15.3	-65.0246
15.4	-65.0246
15.5	-65.0246
15.6	-65.0246
15.7	-65.0246
15.8	-65.0246
15.9	-65.0246
16	-65.0246
16.1	-65.0246
16.2	-65.0246
16.3	-65.0246
16.4	-65.0246
16.5	-65.0246
16.6	-65.0246
16.7	-65.0246
16.8	-65.0246
16.9	-65.0246
17	-65.0246
17.1	-65.0246
17.2	-65.0246
17.3	-65.0246
17.4	-65.0246
17.5	-65.0246
17.6	-65.0246
17.7	-65.0246
17.8	-65.0246
17.9	-65.0246
18	-65.0246
18.1	-65.0246
18.2	-65.0246
18.3	-65.0246
18.4	-65.0246
18.5	-65.0246
18.6	-65.0246
18.7	-65.0246
18.8	-65.0246
18.9	-65.0246
19	-65.0246
19.1	-65.0246
19.2	-65.0246
19.3	-65.0246
19.4	-65.0246
19.5	-65.0246
19.6	-65.0246
19.7	-65.0246
19.8	-65.0246
19.9	-65.0246
20	-65.0246
20.1	-65.0246
20.2	-65.0246
20.3	-65.0246
20.4	-65.0246
20.5	-65.0246
20.6	-65.0246
20.7	-65.0246
20.8	-65.0246
20.9	-65.0246
21	-65.0246
21.1	-65.0246
21.2	-65.0246
21.3	-65.0246
21.4	-65.0246
21.5	-65.0246
21.6	-65.0246
21.7	-65.0246
21.8	-65.0246
21.9	-65.0246
22	-65.0246
22.1	-65.0246
22.2	-65.0246
22.3	-65.0246
22.4	-65.0246
22.5	-65.0246
22.6	-65.0246
22.7	-65.0246
22.8	-65.0246
22.9	-65.0246
23	-65.0246
23.1	-65.0246
23.2	-65.0246
23.3	-65.0246
23.4	-65.0246
23.5	-65.0246
23.6	-65.0246
23.7	-65.0246
23.8	-65.0246
23.9	-65.0246
24	-65.0246
24.1	-65.0246
24.2	-65.0246
24.3	-65.0246
24.4	-65.0246
24.5	-65.0246
24.6	-65.0246
24.7	-65.0246
24.8	-65.0246
24.9	-65.0246
25	-65.0246
25.1	-65.0246
25.2	-65.0246
25.3	-65.0246
25.4	-65.0246
25.5	-65.0246
25.6	-65.0246
25.7	-65.0246
25.8	-65.0246
25.9	-65.0246
26	-65.0246
26.1	-65.0246
26.2	-65.0246
26.3	-65.0246
26.4	-65.0246
26.5	-65.0246
26.6	-65.0246
26.7	-65.0246
26.8	-65.0246
26.9	-65.0246
27	-65.0246
27.1	-65.0246
27.2	-65.0246
27.3	-65.0246
27.4	-65.0246
27.5	-65.0246
27.6	-65.0246
27.7	-65.0246
27.8	-65.0246
27.9	-65.0246
28	-65.0246
28.1	-65.0246
28.2	-65.0246
28.3	-65.0246
28.4	-65.0246
28.5	-65.0246
28.6	-65.0246
28.7	-65.0246
28.8	-65.0246
28.9	-65.0246
29	-65.0246
29.1	-65.0246
29.2	-65.0246
29.3	-65.0246
29.4	-65.0246
29.5	-65.0246
29.6	-65.0246
29.7	-65.0246
29.8	-65.0246
29.9	-65.0246
30	-65.0246
30.1	-65.0246
30.2	-65.0246
30.3	-65.0246
30.4	-65.0246
30.5	-65.0246
30.6	-65.0246
30.7	-65.0246
30.8	-65.0246
30.9	-65.0246
31	-65.0246
31.1	-65.0246
31.2	-65.0246
31.3	-65.0246
31.4	-65.0246
31.5	-65.0246
31.6	-65.0246
31.7	-65.0246
31.8	-65.0246
31.9	-65.0246
32	-65.0246
32.1	-65.0246
32.2	-65.0246
32.3	-65.0246
32.4	-65.0246
32.5	-65.0246
32.6	-65.0246
32.7	-65.0246
32.8	-65.0246
32.9	-65.0246
33	-65.0246
33.1	-65.0246
33.2	-65.0246
33.3	-65.0246
33.4	-65.0246
33.5	-65.0246
33.6	-65.0246
33.7	-65.0246
33.8	-65.0246
33.9	-65.0246
34	-65.0246
34.1	-65.0246
34.2	-65.0246
34.3	-65.0246
34.4	-65.0246
34.5	-65.0246
