t	v
0	-62.9601
0.1	-62.9601
0.2	-62.9601
0.3	-62.9601
0.4	-62.9601
0.5	-62.9601
0.6	-62.9601
0.7	-62.9601
0.8	-62.9601
0.9	-62.9601
1	-62.9601
1.1	-62.9601
1.2	-62.9601
1.3	-62.9601
1.4	-62.9601
1.5	-62.9601
1.6	-62.9601
1.7	-62.9601
1.8	-62.9601
1.9	-62.9601
2	-62.9601
2.1	-62.9601
2.2	-62.9601
2.3	-62.9601
2.4	-62.9601
2.5	-62.9601
2.6	-62.9601
2.7	-62.9601
2.8	-62.9601
2.9	-62.9601
3	-62.9601
3.1	-62.9601
3.2	-62.9601
3.3	-62.9601
3.4	-62.9601
3.5	-62.9601
3.6	-62.9601
3.7	-62.9601
3.8	-62.9601
3.9	-62.9601
4	-62.9601
4.1	-62.9601
4.2	-62.9601
4.3	-62.9601
4.4	-62.9601
4.5	-62.9601
4.6	-62.9601
4.7	-62.9601
4.8	-62.9601
4.9	-62.9601
5	-62.9601
5.1	-62.9601
5.2	-62.9601
5.3	-62.9601
5.4	-62.9601
5.5	-62.9601
5.6	-62.9601
5.7	-62.9601
5.8	-62.9601
5.9	-62.9601
6	-62.9601
6.1	-62.9601
6.2	-62.9601
6.3	-62.9601
6.4	-62.9601
6.5	-62.9601
6.6	-62.9601
6.7	-62.9601
6.8	-62.9601
6.9	-62.9601
7	-62.9601
7.1	-62.9601
7.2	-62.9601
7.3	-62.9601
7.4	-62.9601
7.5	-62.9601
7.6	-62.9601
7.7	-62.9601
7.8	-62.9601
7.9	-62.9601
8	-62.9601
8.1	-62.9601
8.2	-62.9601
8.3	-62.9601
8.4	-62.9601
8.5	-62.9601
8.6	-62.9601
8.7	-62.9601
8.8	-62.9601
8.9	-62.9601
9	-62.9601
9.1	-62.9601
9.2	-62.9601
9.3	-62.9601
9.4	-62.9601
9.5	-62.9601
9.6	-62.9601
9.7	-62.9601
9.8	-62.9601
9.9	-62.9601
10	-62.9601
10.1	-62.9601
10.2	-62.9601
10.3	-62.9601
10.4	-62.9601
10.5	-62.9601
10.6	-62.9601
10.7	-62.9601
10.8	-62.9601
10.9	-62.9601
11	-62.9601
11.1	-62.9601
11.2	-62.9601
11.3	-62.9601
11.4	-62.9601
11.5	-62.9601
11.6	-62.9601
11.7	-62.9601
11.8	-62.9601
11.9	-62.9601
12	-62.9601
12.1	-62.9601
12.2	-62.9601
12.3	-62.9601
12.4	-62.9601
12.5	-62.9601
12.6	-62.9601
12.7	-62.9601
12.8	-62.9601
12.9	-62.9601
13	-62.9601
13.1	-62.9601
13.2	-62.9601
13.3	-62.9601
13.4	-62.9601
13.5	-62.9601
13.6	-62.9601
13.7	-62.9601
13.8	-62.9601
13.9	-62.9601
14	-62.9601
14.1	-62.9601
14.2	-62.9601
14.3	-62.9601
14.4	-62.9601
14.5	-62.9601
14.6	-62.9601
14.7	-62.9601
14.8	-62.9601
14.9	-62.9601
15	-62.9601
15.1	-62.9601
15.2	-62.9601
15.3	-62.9601
15.4	-62.9601
15.5	-62.9601
15.6	-62.9601
15.7	-62.9601
15.8	-62.9601
15.9	-62.9601
16	-62.9601
16.1	-62.9601
16.2	-62.9601
16.3	-62.9601
16.4	-62.9601
16.5	-62.9601
16.6	-62.9601
16.7	-62.9601
16.8	-62.9601
16.9	-62.9601
17	-62.9601
17.1	-62.9601
17.2	-62.9601
17.3	-62.9601
17.4	-62.9601
17.5	-62.9601
17.6	-62.9601
17.7	-62.9601
17.8	-62.9601
17.9	-62.9601
18	-62.9601
18.1	-62.9601
18.2	-62.9601
18.3	-62.9601
18.4	-62.9601
18.5	-62.9601
18.6	-62.9601
18.7	-62.9601
18.8	-62.9601
18.9	-62.9601
19	-62.9601
19.1	-62.9601
19.2	-62.9601
19.3	-62.9601
19.4	-62.9601
19.5	-62.9601
19.6	-62.9601
19.7	-62.9601
19.8	-62.96
19.9	-62.96
20	-62.96
20.1	-62.9599
20.2	-62.9599
20.3	-62.9598
20.4	-62.9597
20.5	-62.9596
20.6	-62.9595
20.7	-62.9594
20.8	-62.9593
20.9	-62.9591
21	-62.959
21.1	-62.9588
21.2	-62.9586
21.3	-62.9584
21.4	-62.9582
21.5	-62.9579
21.6	-62.9577
21.7	-62.9574
21.8	-62.9572
21.9	-62.9569
22	-62.9566
22.1	-62.9563
22.2	-62.9559
22.3	-62.9556
22.4	-62.9552
22.5	-62.9549
22.6	-62.9545
22.7	-62.9541
22.8	-62.9537
22.9	-62.9533
23	-62.9529
23.1	-62.9525
23.2	-62.9521
23.3	-62.9517
23.4	-62.9513
23.5	-62.9508
23.6	-62.9504
23.7	-62.9499
23.8	-62.9495
23.9	-62.949
24	-62.9486
24.1	-62.9481
24.2	-62.9476
24.3	-62.9472
24.4	-62.9467
24.5	-62.9463
24.6	-62.9458
24.7	-62.9453
24.8	-62.9449
24.9	-62.9444
25	-62.9439
25.1	-62.9435
25.2	-62.943
25.3	-62.9426
25.4	-62.9421
25.5	-62.9416
25.6	-62.9412
25.7	-62.9407
25.8	-62.9403
25.9	-62.9399
26	-62.9394
26.1	-62.939
26.2	-62.9386
26.3	-62.9381
26.4	-62.9377
26.5	-62.9373
26.6	-62.9369
26.7	-62.9365
26.8	-62.936
26.9	-62.9356
27	-62.9352
27.1	-62.9349
27.2	-62.9345
27.3	-62.9341
27.4	-62.9337
27.5	-62.9333
27.6	-62.9329
27.7	-62.9326
27.8	-62.9322
27.9	-62.9318
28	-62.9314
28.1	-62.931
28.2	-62.9306
28.3	-62.9302
28.4	-62.9298
28.5	-62.9293
28.6	-62.9289
28.7	-62.9284
28.8	-62.928
28.9	-62.9275
29	-62.927
29.1	-62.9264
29.2	-62.9259
29.3	-62.9254
29.4	-62.9248
29.5	-62.9242
29.6	-62.9236
29.7	-62.923
29.8	-62.9224
29.9	-62.9218
30	-62.9211
30.1	-62.9205
30.2	-62.9198
30.3	-62.9191
30.4	-62.9184
30.5	-62.9177
30.6	-62.917
30.7	-62.9163
30.8	-62.9156
30.9	-62.9149
31	-62.9141
31.1	-62.9134
31.2	-62.9127
31.3	-62.9119
31.4	-62.9112
31.5	-62.9104
31.6	-62.9097
31.7	-62.9089
31.8	-62.9082
31.9	-62.9074
32	-62.9067
32.1	-62.9059
32.2	-62.9052
32.3	-62.9044
32.4	-62.9037
32.5	-62.903
32.6	-62.9022
32.7	-62.9015
32.8	-62.9008
32.9	-62.9001
33	-62.8993
33.1	-62.8986
33.2	-62.8979
33.3	-62.8972
33.4	-62.8966
33.5	-62.8959
33.6	-62.8952
33.7	-62.8945
33.8	-62.8939
33.9	-62.8932
34	-62.8926
34.1	-62.892
34.2	-62.8913
34.3	-62.8907
34.4	-62.8901
34.5	-62.8895
34.6	-62.8889
34.7	-62.8883
34.8	-62.8878
34.9	-62.8872
35	-62.8867
35.1	-62.8861
35.2	-62.8856
35.3	-62.8851
35.4	-62.8846
35.5	-62.8841
35.6	-62.8836
35.7	-62.8831
35.8	-62.8826
35.9	-62.8822
36	-62.8817
36.1	-62.8813
36.2	-62.8809
36.3	-62.8805
36.4	-62.8801
36.5	-62.8797
36.6	-62.8793
36.7	-62.8789
36.8	-62.8785
36.9	-62.8782
37	-62.8778
37.1	-62.8775
37.2	-62.8772
37.3	-62.8769
37.4	-62.8766
37.5	-62.8763
37.6	-62.876
37.7	-62.8757
37.8	-62.8755
37.9	-62.8752
38	-62.875
38.1	-62.8747
38.2	-62.8745
38.3	-62.8743
38.4	-62.8741
38.5	-62.8739
38.6	-62.8737
38.7	-62.8735
38.8	-62.8734
38.9	-62.8732
39	-62.873
39.1	-62.8729
39.2	-62.8728
39.3	-62.8727
39.4	-62.8725
39.5	-62.8724
39.6	-62.8723
39.7	-62.8722
39.8	-62.8722
39.9	-62.8721
40	-62.872
40.1	-62.872
40.2	-62.8719
40.3	-62.8719
40.4	-62.8719
40.5	-62.8718
40.6	-62.8718
40.7	-62.8718
40.8	-62.8718
40.9	-62.8718
41	-62.8718
41.1	-62.8718
41.2	-62.8719
41.3	-62.8719
41.4	-62.8719
41.5	-62.872
41.6	-62.872
41.7	-62.8721
41.8	-62.8722
41.9	-62.8722
42	-62.8723
42.1	-62.8724
42.2	-62.8725
42.3	-62.8726
42.4	-62.8727
42.5	-62.8728
42.6	-62.8729
42.7	-62.8731
42.8	-62.8732
42.9	-62.8733
43	-62.8735
43.1	-62.8736
43.2	-62.8738
43.3	-62.8739
43.4	-62.8741
43.5	-62.8742
43.6	-62.8744
43.7	-62.8746
43.8	-62.8748
43.9	-62.875
44	-62.8751
44.1	-62.8753
44.2	-62.8755
44.3	-62.8757
44.4	-62.8759
44.5	-62.8762
44.6	-62.8764
44.7	-62.8766
44.8	-62.8768
44.9	-62.877
45	-62.8773
45.1	-62.8775
45.2	-62.8777
45.3	-62.878
45.4	-62.8782
45.5	-62.8785
45.6	-62.8787
45.7	-62.879
45.8	-62.8793
45.9	-62.8795
46	-62.8798
46.1	-62.8801
46.2	-62.8803
46.3	-62.8806
46.4	-62.8809
46.5	-62.8812
46.6	-62.8814
46.7	-62.8817
46.8	-62.882
46.9	-62.8823
47	-62.8826
47.1	-62.8829
47.2	-62.8832
47.3	-62.8835
47.4	-62.8838
47.5	-62.8841
47.6	-62.8844
47.7	-62.8847
47.8	-62.8851
47.9	-62.8854
48	-62.8857
48.1	-62.886
48.2	-62.8863
48.3	-62.8867
48.4	-62.887
48.5	-62.8873
48.6	-62.8876
48.7	-62.888
48.8	-62.8883
48.9	-62.8886
49	-62.889
49.1	-62.8893
49.2	-62.8896
49.3	-62.89
49.4	-62.8903
49.5	-62.8906
49.6	-62.891
49.7	-62.8913
49.8	-62.8917
49.9	-62.892
50	-62.8924
50.1	-62.8927
50.2	-62.8931
50.3	-62.8934
50.4	-62.8938
50.5	-62.8941
50.6	-62.8945
50.7	-62.8948
50.8	-62.8952
50.9	-62.8955
51	-62.8959
51.1	-62.8962
51.2	-62.8966
51.3	-62.8969
51.4	-62.8973
51.5	-62.8977
51.6	-62.898
51.7	-62.8984
51.8	-62.8987
51.9	-62.8991
52	-62.8995
52.1	-62.8998
52.2	-62.9002
52.3	-62.9005
52.4	-62.9009
52.5	-62.9012
52.6	-62.9016
52.7	-62.902
52.8	-62.9023
52.9	-62.9027
53	-62.903
53.1	-62.9034
53.2	-62.9038
53.3	-62.9041
53.4	-62.9045
53.5	-62.9048
53.6	-62.9052
53.7	-62.9056
53.8	-62.9059
53.9	-62.9063
54	-62.9066
54.1	-62.907
54.2	-62.9074
54.3	-62.9077
54.4	-62.9081
54.5	-62.9084
54.6	-62.9088
54.7	-62.9091
54.8	-62.9095
54.9	-62.9099
55	-62.9102
55.1	-62.9106
55.2	-62.9109
55.3	-62.9113
55.4	-62.9116
55.5	-62.912
55.6	-62.9123
55.7	-62.9127
55.8	-62.913
55.9	-62.9134
56	-62.9137
56.1	-62.9141
56.2	-62.9144
56.3	-62.9148
56.4	-62.9151
56.5	-62.9155
56.6	-62.9158
56.7	-62.9162
56.8	-62.9165
56.9	-62.9168
57	-62.9172
57.1	-62.9175
57.2	-62.9179
57.3	-62.9182
57.4	-62.9185
57.5	-62.9189
57.6	-62.9192
57.7	-62.9195
57.8	-62.9199
