t	v
0	-70.5653
0.1	-70.565
0.2	-70.5647
0.3	-70.5644
0.4	-70.5641
0.5	-70.5638
0.6	-70.5634
0.7	-70.5631
0.8	-70.5628
0.9	-70.5625
1	-70.5622
1.1	-70.5619
1.2	-70.5616
1.3	-70.5613
1.4	-70.561
1.5	-70.5607
1.6	-70.5604
1.7	-70.5601
1.8	-70.5598
1.9	-70.5595
2	-70.5592
2.1	-70.5589
2.2	-70.5586
2.3	-70.5583
2.4	-70.558
2.5	-70.5577
2.6	-70.5574
2.7	-70.5571
2.8	-70.5568
2.9	-70.5565
3	-70.5562
3.1	-70.5559
3.2	-70.5556
3.3	-70.5553
3.4	-70.555
3.5	-70.5548
3.6	-70.5545
3.7	-70.5542
3.8	-70.5539
3.9	-70.5536
4	-70.5533
4.1	-70.553
4.2	-70.5527
4.3	-70.5524
4.4	-70.5521
4.5	-70.5518
4.6	-70.5515
4.7	-70.5512
4.8	-70.5509
4.9	-70.5506
5	-70.5503
5.1	-70.55
5.2	-70.5498
5.3	-70.5495
5.4	-70.5492
5.5	-70.5489
5.6	-70.5486
5.7	-70.5483
5.8	-70.548
5.9	-70.5477
6	-70.5474
6.1	-70.5471
6.2	-70.5468
6.3	-70.5466
6.4	-70.5463
6.5	-70.546
6.6	-70.5457
6.7	-70.5454
6.8	-70.5451
6.9	-70.5448
7	-70.5445
7.1	-70.5442
7.2	-70.544
7.3	-70.5437
7.4	-70.5434
7.5	-70.5431
7.6	-70.5428
7.7	-70.5425
7.8	-70.5422
7.9	-70.542
8	-70.5417
8.1	-70.5414
8.2	-70.5411
8.3	-70.5408
8.4	-70.5405
8.5	-70.5402
8.6	-70.54
8.7	-70.5397
8.8	-70.5394
8.9	-70.5391
9	-70.5388
9.1	-70.5385
9.2	-70.5383
9.3	-70.538
9.4	-70.5377
9.5	-70.5374
9.6	-70.5371
9.7	-70.5369
9.8	-70.5366
9.9	-70.5363
10	-70.536
10.1	-70.5357
10.2	-70.5355
10.3	-70.5352
10.4	-70.5349
10.5	-70.5346
10.6	-70.5343
10.7	-70.5341
10.8	-70.5338
10.9	-70.5335
11	-70.5332
11.1	-70.5329
11.2	-70.5327
11.3	-70.5324
11.4	-70.5321
11.5	-70.5318
11.6	-70.5316
11.7	-70.5313
11.8	-70.531
11.9	-70.5307
12	-70.5304
12.1	-70.5302
12.2	-70.5299
12.3	-70.5296
12.4	-70.5293
12.5	-70.5291
12.6	-70.5288
12.7	-70.5285
12.8	-70.5282
12.9	-70.528
13	-70.5277
13.1	-70.5274
13.2	-70.5272
13.3	-70.5269
13.4	-70.5266
13.5	-70.5263
13.6	-70.5261
13.7	-70.5258
13.8	-70.5255
13.9	-70.5252
14	-70.525
14.1	-70.5247
14.2	-70.5244
14.3	-70.5242
14.4	-70.5239
14.5	-70.5236
14.6	-70.5233
14.7	-70.5231
14.8	-70.5228
14.9	-70.5225
15	-70.5223
15.1	-70.522
15.2	-70.5217
15.3	-70.5215
15.4	-70.5212
15.5	-70.5209
15.6	-70.5207
15.7	-70.5204
15.8	-70.5201
15.9	-70.5198
16	-70.5196
16.1	-70.5193
16.2	-70.519
16.3	-70.5188
16.4	-70.5185
16.5	-70.5182
16.6	-70.518
16.7	-70.5177
16.8	-70.5175
16.9	-70.5172
17	-70.5169
17.1	-70.5167
17.2	-70.5164
17.3	-70.5161
17.4	-70.5159
17.5	-70.5156
17.6	-70.5153
17.7	-70.5151
